Id,Uuid,TeamNumber,MatchNumber,ScoutName,Comments,Auto_Leave,Auto_Speaker,Auto_Amp,Tele_Speaker,Tele_Amp,Tele_Amped_Speaker,Tele_Coop,Endgame_Parked,Endgame_OnStage,Endgame_Harmony,Endgame_Spotlit,Endgame_Trap,Auto_Points,Tele_Points,Endgame_Points,ScoutScore
,f85c1ca6-4f5d-4686-91ee-8ce3b9b9cc67,58,2,Red Riots,Accuracy = 5. Auto = 4. Stability = 5. Efficiency = 5.  Speed = 5. ,1.00,2.00,0.00,6.00,2.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,12.00,14.00,5.00,27.00
,635bc818-5074-42cb-a2d9-e0b5036723c8,58,2,h,Auto = 5. Speed = 3. Efficiency = 3. Human player = 2. Defense = 3. Can hang on chain. Can go under the chain. Can hang second on chain. ,0.00,5.00,0.00,3.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,25.00,7.00,5.00,20.00
,7e95901b-4bcd-4b70-a01f-e27c60140a15,58,6,Nicholas,Very good auto and tele-op. can do amp and speaker. swerve. Can go under the chain. ,1.00,3.00,0.00,3.00,3.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,17.00,9.00,3.00,0.00
,e6a1b6ec-86f1-4818-88b7-bffb7fda1c96,58,20,Ash,Speed = 5. Efficiency = 3. L team,0.00,0.00,0.00,4.00,3.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,11.00,1.00,8.00
,6e2576d0-b511-4378-b7bc-e9043fb943e9,58,23,Jean,didn't climb because of opposing alliance interference with the stage,1.00,4.00,0.00,4.00,3.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,22.00,11.00,1.00,0.00
,8d4dd9b1-42ea-4b32-a104-b5b9ad0a0569,58,34,Anton,Auto = 1. Speed = 3. Stability = 5. Defense = 4. Accuracy = 4. Can hang on chain. ,0.00,0.00,0.00,7.00,3.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.00,0.00,17.00
,9bf4c6c9-c040-4fe8-90d3-a8e34bdae3e0,58,34,td,,1.00,0.00,0.00,4.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,2.00,9.00,1.00,0.00
,0948b421-6be7-44f0-a262-c3c1383a933d,58,37,td,,0.00,4.00,0.00,4.00,3.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,20.00,11.00,5.00,0.00
,507b6bfb-1f03-406f-afc1-aa20e6080126,58,41,Dawn,,1.00,2.00,0.00,5.00,3.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,12.00,13.00,5.00,0.00
,1039598b-45e0-45ba-b856-9757b7e1d75f,133,4,133,,0.00,0.00,0.00,6.00,2.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,19.00,5.00,0.00
,4a51f5dd-9d24-4944-848f-d0aea189378f,133,5,BERT,,1.00,1.00,0.00,7.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,7.00,15.00,10.00,0.00
,38a3b082-d8b8-49ce-b57f-6cbab54111ee,133,7,Laura,Imagine naming your robot after a dragon because it was smoking. couldn't be me.,1.00,1.00,0.00,5.00,4.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,7.00,14.00,9.00,0.00
,53d5d6ee-5abb-46d1-8ad9-2d1acdf47c10,133,11,BERT,,0.00,0.00,0.00,2.00,2.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,6.00,5.00,0.00
,f98851ba-2b25-454f-8907-8fdbd7ffdc6b,133,16,dawn,Efficiency = 1. Great bot!,0.00,2.00,0.00,6.00,4.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,10.00,16.00,7.00,1.00
,a28b1a3a-4761-44bc-ad77-ff1bbd864774,133,24,BERT,,0.00,2.00,0.00,3.00,2.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,10.00,8.00,8.00,0.00
,e05b96ef-5041-4a2e-832b-5b2ca043a615,133,28,BERT,"good robot, but I think this match was not successful

",0.00,1.00,0.00,1.00,2.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,5.00,4.00,8.00,0.00
,258d0d33-c7fc-4f50-8691-082b879f54a2,133,31,Dawn,,0.00,2.00,0.00,4.00,4.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,10.00,12.00,7.00,0.00
,f68526c3-b746-4d56-899a-b60d5200f3b4,133,31,B.E.R.T.,Speed = 5. Accuracy = 5. Stability = 4. Stability = 5. ,0.00,4.00,0.00,4.00,3.00,2.00,0.00,0.00,1.00,1.00,0.00,0.00,20.00,21.00,5.00,19.00
,779e1b0c-735a-46ba-8bb8-4d8e5b7962a0,133,37,Dawn,1. great team!,1.00,2.00,0.00,4.00,3.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,12.00,11.00,7.00,1.00
,94f3baf1-6d4f-44f1-a106-92d04ed841a2,133,38,BERT,,0.00,2.00,1.00,3.00,4.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,12.00,10.00,3.00,0.00
,670c9b9c-3aac-4b58-ad6a-ad0b5eaa01a6,133,43,Jean,,1.00,4.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,22.00,3.00,9.00,0.00
,e1a8b517-6bd2-45fa-b333-873022cd3ba3,133,43,B.E.R.T.,,0.00,4.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,3.00,0.00,0.00
,3d7df810-d0c7-459b-ba7b-9f886bb3319c,166,2,Laura,Auto went way over the speaker,1.00,1.00,0.00,3.00,3.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,7.00,9.00,3.00,0.00
,e4a2802c-f305-43e8-b6b3-2d127f4ecdf8,166,6,166,Speed = 4. Stability = 3. Accuracy = 4. ,0.00,2.00,0.00,4.00,3.00,2.00,0.00,1.00,0.00,0.00,0.00,0.00,10.00,21.00,1.00,11.00
,4a78ac1a-d3ee-4890-81a6-00145e82a9e3,166,11,Laura,Redo at end. field fault,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,31c1819f-0076-4048-9f9c-e6055d5d647a,166,17,Chase,Auto = 5. Speed = 4. Efficiency = 4. Stability = 5. Accuracy = 4. Defense = 2. Human player = 5. ,1.00,3.00,0.00,8.00,2.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,17.00,23.00,3.00,29.00
,6677835b-1199-44cc-9338-d255d2f666c0,166,17,Joyce,,0.00,3.00,0.00,9.00,2.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,15.00,20.00,3.00,0.00
,717c9051-aac0-45d5-ad25-a0723962c640,166,21,Ash,Speed = 3. Can hang on chain. ,0.00,2.00,0.00,3.00,2.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,10.00,8.00,3.00,3.00
