Id,Uuid,TeamNumber,MatchNumber,ScoutName,Comments,Auto_Leave,Auto_Speaker,Auto_Amp,Tele_Speaker,Tele_Amp,Tele_Amped_Speaker,Tele_Coop,Endgame_Parked,Endgame_OnStage,Endgame_Harmony,Endgame_Spotlit,Endgame_Trap,Auto_Points,Tele_Points,Endgame_Points,ScoutScore
,bf0794a2-db3f-4cc7-830f-eaae645978a6,133,8,Nicholas,,1.00,4.00,0.00,3.00,3.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,22.00,9.00,8.00,0.00
,584553ea-d228-4f03-a5a8-eb1c88b9e5ee,133,16,Zander, wow,0.00,1.00,0.00,5.00,4.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,5.00,14.00,8.00,0.00
,709bcc91-7bd1-49d8-9370-0f0e26d0a14a,133,24,Jean,,1.00,5.00,0.00,3.00,4.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,27.00,10.00,4.00,0.00
,6eec7237-447a-4a21-aef9-9ec1073d2539,133,29,Anton,I love bert,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,273b15e4-d3b3-4fb1-879d-17015d7dc576,133,40,terri,,0.00,1.00,0.00,2.00,7.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,5.00,11.00,10.00,0.00
,949c11be-bcdd-4396-bc16-c88b9af68c50,133,44,rachek,Wow,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,7bb43e26-2b99-4582-99c4-b83b09ef193e,133,52,Zander,Hi Keith!,0.00,2.00,0.00,0.00,5.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,10.00,5.00,8.00,0.00
,8cc31a5f-6be8-4220-a0d4-c6168c9a6d96,166,2,Chase,Got note stuck. Defense = 3. Stability = 3. Efficiency = 3. Auto = 4. Human player = 4. ,1.00,3.00,0.00,0.00,3.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,17.00,3.00,3.00,17.00
,57b08d25-f495-4fcf-9410-034938aa2738,166,11,DAB,"Stuck note, played defense.",1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,2.00,0.00,3.00,0.00
,671aae4e-e1e9-4668-af9f-aa617f2434ca,166,15,Nicholas,"Can go under the chain. Can hang on chain. Swerve. Quick cycles, shoots across the field for support.",1.00,1.00,0.00,4.00,4.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,7.00,12.00,3.00,0.00
,089672c2-5546-4c07-a26c-3a714fac411c,166,23,Nicholas,Supportive. Swerve. short.,1.00,1.00,0.00,1.00,3.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,7.00,5.00,3.00,0.00
,880134b4-6d0e-4d85-94ed-a3ef044df8f7,166,26,Gabber,Kept shooting a crossed the feild,1.00,3.00,0.00,1.00,4.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,17.00,11.00,3.00,0.00
,a9cc6215-d2d3-4fc3-b26a-3991082d6f33,166,33,ash,Can hang on chain. Auto = 3. Speed = 5. Efficiency = 4. Accuracy = 5. ,1.00,2.00,0.00,4.00,4.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,12.00,12.00,3.00,17.00
,b376406c-b8de-4593-b384-cb7a42bcce16,166,40,Chase,Auto = 4. Speed = 3. Accuracy = 4. Defense = 3. ,1.00,2.00,0.00,0.00,7.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,12.00,12.00,3.00,14.00
,659da528-6b2e-4518-bb45-8b10b1e90b05,166,43,Anton,Auto = 4. Speed = 4. Efficiency = 4. Can hang on chain. Can go under the chain. ,1.00,1.00,0.00,3.00,4.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,7.00,10.00,3.00,12.00
,297ed57c-5d11-4eb4-a703-6ecb4d16c5cb,166,49,GABE,,1.00,1.00,0.00,2.00,2.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,7.00,11.00,3.00,0.00
,ad197e04-ff22-49e0-9dc9-c0f143452b1d,172,2,Ash,Auto = 4. Speed = 4. Can hang on chain. ,1.00,1.00,0.00,6.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,7.00,12.00,3.00,8.00
,bd4998b5-b178-404c-9a8d-3bb5f474c56c,172,6,Zander,Potential 4 piece auto. ,0.00,1.00,0.00,2.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,5.00,5.00,1.00,0.00
,28d58bf7-ea86-4dda-b882-01ee540274dc,172,14,Nicholas,Swerve. good fast cycles. can't get too close or it can't make it in. Can go under the chain. Speaker only.,1.00,1.00,0.00,10.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,7.00,20.00,1.00,0.00
,c14bb51d-5b2e-4768-bde3-8cb9613ceee9,172,20,Nicholas,"Did about as well as before. shots are inconsistent, and under powered",1.00,2.00,0.00,4.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,12.00,8.00,5.00,0.00
,cb94c61c-dc0e-4533-8ce2-e398d81b5333,172,27,Nicholas,Makes half of their shots. medium speed cycles.,1.00,0.00,0.00,6.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,2.00,12.00,3.00,0.00
,80b75e62-4251-42fa-9b6d-8ffab9bc6976,172,35,rachkl,Had a note pickup problem. not shooting on target,1.00,4.00,0.00,5.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,22.00,10.00,1.00,0.00
,2f2b6c5a-e85b-4efa-b691-fdb9416c7a24,172,40,Anton,Can hang on chain. Auto = 4. Speed = 4. Efficiency = 4. Accuracy = 4. Can go under the chain. ,1.00,1.00,0.00,4.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,7.00,8.00,3.00,16.00
,c1d7dd74-5133-45d8-b869-94c26582ef3c,172,46,Zander,,0.00,3.00,0.00,6.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,15.00,12.00,3.00,0.00
,13861465-c915-432c-8833-13ed8c485be7,501,5,Nicholas,Slow. tall. might be able to do trap. should be able to do amp and speaker. ,0.00,0.00,0.00,4.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,8.00,3.00,0.00
,8c29ae8f-363f-413f-be5b-60c69e54906e,501,8,rackel,TALL,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,8.00,3.00,0.00
,9591f85d-7a62-41ca-8c52-229b3cb00c7e,501,18,logan,Tippy,0.00,0.00,0.00,4.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,9.00,8.00,0.00
,d0a66c06-eb16-4878-aaa6-56905afded75,501,22,Zander,They are very tall. ,1.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,2.00,6.00,3.00,0.00
