Id,Uuid,TeamNumber,MatchNumber,ScoutName,Comments,Auto_Leave,Auto_Speaker,Auto_Amp,Tele_Speaker,Tele_Amp,Tele_Amped_Speaker,Tele_Coop,Endgame_Parked,Endgame_OnStage,Endgame_Harmony,Endgame_Spotlit,Endgame_Trap,Auto_Points,Tele_Points,Endgame_Points,ScoutScore
,b3c0ec30-c17d-4da4-827f-044d4f725446,58,7,Chase,Human player = 2. Auto = 3. Speed = 3. Efficiency = 4. Accuracy = 2.,1.00,1.00,0.00,2.00,2.00,2.00,1.00,0.00,1.00,1.00,0.00,0.00,7.00,16.00,5.00,14.00
,750c72de-50fb-4e51-91e2-37508be5c067,58,12,zander,Potential 5 piece auto but got bumped. Really fast,0.00,3.00,0.00,5.00,3.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,15.00,13.00,3.00,0.00
,9c1773b3-9e07-4054-904f-6854f54dc1ca,58,17,Chase,,0.00,3.00,0.00,1.00,2.00,3.00,0.00,1.00,0.00,0.00,0.00,0.00,15.00,19.00,1.00,0.00
,35d9fae1-661c-49b3-8f0a-cafd87f127ab,58,28,zander,Very quick climb. ,0.00,0.00,0.00,5.00,2.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,12.00,3.00,0.00
,f43271fa-a8ca-420c-96f9-1b194c07695d,58,34,Nicholas,"Swerve. Can go under the chain. Good shots, quick cycles.",1.00,4.00,0.00,5.00,2.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,22.00,12.00,3.00,0.00
,5c7f7d2d-13db-46d2-ba64-0ff3910179c2,58,41,GABE,Didn't work the best with their team but did good,1.00,2.00,0.00,3.00,2.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,12.00,13.00,5.00,0.00
,8c29fbfd-dca1-41f9-bc9e-f0978e8518e0,58,54,ash,Speed = 4. Efficiency = 5. Can hang on chain. ,1.00,0.00,0.00,4.00,3.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,2.00,11.00,3.00,13.00
,fd527659-3e81-4170-86b9-b3820125cc34,58,61,rachel,Missed a couple speaker shots. tried to harmonize but failed,1.00,5.00,0.00,5.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.00,13.00,0.00,0.00
,febdc354-df76-4942-b1ae-93d3b3c12848,58,72,terri,Good match,0.00,3.00,0.00,3.00,4.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,15.00,10.00,5.00,0.00
,1630cf5d-1576-4813-8192-032f9ecc612b,58,78,anton,Auto = 4. Efficiency = 4. Speed = 5. Can hang on chain. Can go under the chain. ,1.00,3.00,0.00,2.00,3.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,17.00,7.00,3.00,13.00
